City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Natchitoches,US,88.65,overcast clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
2,Komsomolskiy,UZ,77.72,few clouds,40.4272,71.7189,Ikathouse
3,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Saint-Louis,SN,85.19,clear sky,16.3333,-15.0,
19,Atuona,PF,77.54,clear sky,-9.8,-139.0333,Villa Enata
24,Fortuna,US,76.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
26,Bougouni,ML,88.88,scattered clouds,11.417,-7.479,Non Stop
40,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
42,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
48,Kirakira,SB,80.98,few clouds,-10.4544,161.9205,SanBiz Lodge
54,Kapaa,US,81.48,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
59,Sola,VU,80.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
64,Hilo,US,84.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
66,Sidi Ali,DZ,76.5,clear sky,36.0998,0.4206,Complexe touristique haje bezine
68,Vung Tau,VN,81.97,light rain,10.346,107.0843,Seaside Resort
72,Albany,US,76.89,overcast clouds,42.6001,-73.9662,
77,Nieuw Amsterdam,SR,86.16,scattered clouds,5.8833,-55.0833,Hotel Stardust
80,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
82,Benidorm,ES,78.75,clear sky,38.5382,-0.131,Medplaya Hotel Flamingo Oasis
84,Piranhas,BR,78.85,overcast clouds,-16.4269,-51.8222,Planalto Hotel
89,Lazaro Cardenas,MX,87.46,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
94,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
95,Kerman,IR,76.86,clear sky,30.2832,57.0788,هتل آپارتمان آسام
98,Corn Island,NI,80.06,overcast clouds,12.1694,-83.0418,Big Fish Guest House
100,Ipixuna,BR,75.54,light rain,-1.7625,-48.8043,Chalé do Mato
112,Hamilton,US,78.75,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
117,Sinnamary,GF,80.11,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
119,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,Mini Central
135,Acapulco,MX,87.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Meulaboh,ID,76.08,overcast clouds,4.1363,96.1285,Kost Pria
140,Kavieng,PG,82.44,clear sky,-2.5744,150.7967,Nusa Island Retreat
141,Concepcion Del Oro,MX,82.72,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
142,Butaritari,KI,81.81,broken clouds,3.0707,172.7902,Isles Sunset Lodge
144,Lake City,US,89.31,broken clouds,30.1897,-82.6393,Ramada Limited Lake City
145,Susanville,US,85.91,clear sky,40.4163,-120.653,Comfort Inn & Suites
154,Rapid Valley,US,89.04,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
155,Huron,US,78.26,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
156,Charleston,US,86.02,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
163,Dhidhdhoo,MV,82.63,overcast clouds,6.8833,73.1,Dhidhoo beach
164,Sabang,ID,82.76,overcast clouds,5.8933,95.3214,Hotel Citra
171,Plettenberg Bay,ZA,76.6,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
173,Kieta,PG,80.22,light rain,-6.2167,155.6333,Uruna Bay Retreat
