City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mangan,IN,2022-06-01 02:55:01,27.5167,88.5333,80.67,79,74,4.81
1,Klaksvik,FO,2022-06-01 02:55:01,62.2266,-6.589,40.12,81,21,4.34
2,Cayenne,GF,2022-06-01 02:50:20,4.9333,-52.3333,76.08,1,100,0.0
3,Cap Malheureux,MU,2022-06-01 02:55:02,-19.9842,57.6142,71.47,67,84,3.0
4,Rikitea,PF,2022-06-01 02:55:03,-23.1203,-134.9692,77.41,76,77,12.82
5,Longyearbyen,SJ,2022-06-01 02:55:03,78.2186,15.6401,44.44,87,75,2.3
6,Castro,BR,2022-06-01 02:55:04,-24.7911,-50.0119,53.94,99,100,7.07
7,Ribeira Grande,PT,2022-06-01 02:55:04,38.5167,-28.7,61.23,81,49,13.69
8,Qaanaaq,GL,2022-06-01 02:55:05,77.484,-69.3632,18.19,79,12,6.06
9,Kragero,NO,2022-06-01 02:55:05,58.8693,9.4149,48.58,83,100,3.98
10,Hamilton,US,2022-06-01 02:55:05,39.1834,-84.5333,77.63,75,4,4.41
11,Hithadhoo,MV,2022-06-01 02:55:06,-0.6,73.0833,83.3,70,91,10.13
12,Ushuaia,AR,2022-06-01 02:55:06,-54.8,-68.3,37.06,87,0,9.22
13,Port Alfred,ZA,2022-06-01 02:55:06,-33.5906,26.891,55.29,55,22,12.15
14,Varhaug,NO,2022-06-01 02:55:07,58.6147,5.6457,50.49,93,100,8.63
15,Tiksi,RU,2022-06-01 02:55:07,71.6872,128.8694,33.48,87,100,8.12
16,Karasburg,NA,2022-06-01 02:55:07,-28.0167,18.75,49.23,20,7,8.79
17,Hilo,US,2022-06-01 02:55:08,19.7297,-155.09,85.28,88,100,4.0
18,Busselton,AU,2022-06-01 02:55:08,-33.65,115.3333,59.41,65,74,5.03
19,Mataura,NZ,2022-06-01 02:55:09,-46.1927,168.8643,57.47,75,100,5.88
20,Kavieng,PG,2022-06-01 02:55:09,-2.5744,150.7967,83.1,63,27,2.01
21,Bada,RU,2022-06-01 02:55:09,51.392,109.8717,67.39,30,63,12.84
22,Bengkulu,ID,2022-06-01 02:55:10,-3.8004,102.2655,81.27,73,100,5.57
23,Jamestown,US,2022-06-01 02:52:17,42.097,-79.2353,73.04,61,0,3.44
24,Shimoda,JP,2022-06-01 02:55:10,34.6667,138.95,73.76,73,100,11.21
25,New Norfolk,AU,2022-06-01 02:55:10,-42.7826,147.0587,51.66,73,89,3.0
26,Mar Del Plata,AR,2022-06-01 02:52:26,-38.0023,-57.5575,41.95,63,0,8.05
27,Mandali,IQ,2022-06-01 02:55:11,33.7499,45.5541,89.69,15,0,4.09
28,Edson,CA,2022-06-01 02:53:54,53.5835,-116.4356,62.74,19,0,3.44
29,Kaitangata,NZ,2022-06-01 02:55:11,-46.2817,169.8464,56.95,73,100,2.21
30,Yellowknife,CA,2022-06-01 02:55:02,62.456,-114.3525,61.32,29,20,8.05
31,Kopervik,NO,2022-06-01 02:55:12,59.2835,5.3067,50.92,93,100,4.61
32,Port Elizabeth,ZA,2022-06-01 02:54:33,-33.918,25.5701,52.09,58,0,8.05
33,Butaritari,KI,2022-06-01 02:55:12,3.0707,172.7902,81.68,76,17,9.95
34,Correntina,BR,2022-06-01 02:55:13,-13.3433,-44.6367,67.44,44,38,2.57
35,Krasnyy Luch,UA,2022-06-01 02:55:13,48.1395,38.9371,64.35,84,100,10.51
36,Cascais,PT,2022-06-01 02:55:13,38.6979,-9.4215,66.06,79,4,20.0
37,Upernavik,GL,2022-06-01 02:55:14,72.7868,-56.1549,22.98,87,27,5.79
38,Hermanus,ZA,2022-06-01 02:55:14,-34.4187,19.2345,54.41,69,1,10.94
39,Sassari,IT,2022-06-01 02:51:54,40.7272,8.5603,55.18,76,0,1.86
40,Vaini,TO,2022-06-01 02:55:15,-21.2,-175.2,80.76,78,40,9.22
41,Saryozek,KZ,2022-06-01 02:55:15,44.3583,77.9753,63.77,53,82,7.43
42,Kapaa,US,2022-06-01 02:53:48,22.0752,-159.319,78.12,79,48,5.01
43,Boyolangu,ID,2022-06-01 02:55:15,-8.1181,111.8935,82.63,75,92,3.06
44,Torit,SS,2022-06-01 02:56:16,4.4133,32.5678,70.29,71,17,2.98
45,Alta Floresta,BR,2022-06-01 02:56:16,-9.8756,-56.0861,70.79,60,12,2.53
46,Mount Pleasant,US,2022-06-01 02:55:47,32.7941,-79.8626,77.0,91,0,1.99
47,Barrow,US,2022-06-01 02:54:38,71.2906,-156.7887,37.31,97,70,12.95
48,Taunsa,PK,2022-06-01 02:56:17,30.7048,70.6505,92.8,22,60,11.65
49,Bluff,NZ,2022-06-01 02:56:17,-46.6,168.3333,57.79,76,100,7.56
50,Avarua,CK,2022-06-01 02:56:17,-21.2078,-159.775,73.45,83,75,5.75
51,Marrakesh,MA,2022-06-01 02:56:18,31.6315,-8.0083,62.67,72,0,5.75
52,Orel-Izumrud,RU,2022-06-01 02:56:18,43.4583,39.9244,62.62,88,82,8.99
53,Faanui,PF,2022-06-01 02:56:19,-16.4833,-151.75,79.12,77,100,18.7
54,Aklavik,CA,2022-06-01 02:56:19,68.2191,-135.0107,39.81,83,100,4.07
55,Komsomolskiy,UZ,2022-06-01 02:56:19,40.4272,71.7189,70.52,40,0,2.3
56,Ancud,CL,2022-06-01 02:56:20,-41.8697,-73.8203,39.22,88,0,4.61
57,Puerto Ayora,EC,2022-06-01 02:56:20,-0.7393,-90.3518,72.27,91,70,9.24
